epoch,train_loss,val_loss,train_acc,val_acc
1,1.720190315890166,1.333941190015702,53.88461538461539,53.61538461538461
2,1.230805199570451,1.1276711310659135,62.50961538461539,61.61538461538461
3,0.9846235711150374,0.917273359639304,71.51923076923077,67.61538461538461
4,0.8512495013833777,0.8511361422992888,75.0576923076923,69.38461538461539
5,0.7590332660206988,0.8057341838166827,76.9423076923077,72.46153846153847
6,0.6919757076567667,0.7622097837073463,80.27884615384616,75.23076923076923
7,0.6084798749970513,0.8116574847982043,79.28846153846153,73.15384615384616
8,0.5365356429954248,0.7282435830150332,85.08653846153847,75.3076923076923
9,0.47815159584846967,0.7453638634511403,87.375,76.07692307692308
10,0.41591248071632503,0.7559092456386203,88.0576923076923,75.76923076923077
11,0.3593251180886491,0.7478625965969903,90.89423076923077,77.07692307692308
12,0.3162692414105304,0.7211679319540659,92.26923076923077,77.46153846153847
13,0.2738624095368239,0.8262201512143725,91.875,75.61538461538461
14,0.25284691968578504,0.8422297732461066,93.59615384615384,77.38461538461539
15,0.20892204732799824,0.887281351855823,94.00961538461539,77.61538461538461
16,0.1945423461451121,0.8961023244829405,94.14423076923077,76.53846153846153
17,0.16911425328373544,0.9189224640528361,96.00961538461539,77.61538461538461
18,0.14829498972812313,0.9230518490076065,95.39423076923077,76.53846153846153
19,0.1536650580634003,1.0588844006969815,93.3076923076923,74.3076923076923
20,0.13046018706143267,1.045873975115163,96.61538461538461,77.23076923076923
